energy,b8,be11,signal
4.8,4.5416,0.5136,0.4953
4.9047,4.4471,0.5163,0.5145
5.0094,4.3519,0.519,0.5343
5.0792,4.2923,0.5213,0.5479
5.1955,4.1926,0.5269,0.5715
5.2187,4.1728,0.5284,0.5761
5.3583,4.0462,0.5392,0.6006
5.4165,3.9937,0.5438,0.6085
5.4746,3.9412,0.5479,0.6153
5.6258,3.804,0.5554,0.631
5.6375,3.7941,0.5558,0.6322
5.7654,3.6845,0.5585,0.6473
5.8352,3.6249,0.5589,0.6552
5.9283,3.5406,0.5588,0.6639
6.0446,3.4352,0.5585,0.6699
6.0562,3.4254,0.5585,0.6703
6.2074,3.296,0.559,0.6744
6.254,3.2561,0.559,0.6761
6.347,3.1762,0.5585,0.68
6.4633,3.0769,0.5559,0.6841
6.4982,3.0453,0.5547,0.6849
6.6378,2.9193,0.5479,0.6854
6.6727,2.8872,0.5457,0.6852
6.789,2.7939,0.5371,0.6849
6.8821,2.7187,0.5296,0.6859
6.917,2.6888,0.5269,0.6863
7.0798,2.5497,0.5147,0.6849
7.0914,2.5395,0.5139,0.6845
7.2078,2.451,0.5058,0.6771
7.3124,2.3709,0.4987,0.6685
7.3706,2.3237,0.4945,0.6639
7.4869,2.2297,0.4847,0.6562
7.5334,2.1918,0.4801,0.6531
7.6498,2.1045,0.4675,0.6428
7.7428,2.0337,0.457,0.6304
7.7777,2.0086,0.4531,0.6251
7.9289,1.899,0.4368,0.6006
7.9754,1.8651,0.4315,0.5935
8.0569,1.8072,0.4215,0.5816
8.1964,1.7071,0.4013,0.5604
8.2081,1.6993,0.3995,0.5585
8.336,1.6125,0.3793,0.5352
8.4291,1.549,0.3651,0.5171
8.4872,1.5097,0.3563,0.5058
8.6152,1.4229,0.3372,0.4819
8.6617,1.3909,0.3302,0.4732
8.7664,1.3254,0.3144,0.4531
8.8943,1.2434,0.295,0.4269
9.0339,1.1658,0.274,0.4004
9.1386,1.1064,0.2582,0.3846
9.1735,1.088,0.2529,0.3797
9.3131,1.0135,0.2317,0.3583
9.3945,0.9694,0.2195,0.3432
9.4527,0.9412,0.2107,0.3317
9.5806,0.878,0.1917,0.3056
9.6504,0.843,0.1812,0.2976
9.6737,0.8327,0.1776,0.295
9.7318,0.8066,0.1686,0.2869
9.9063,0.7271,0.1411,0.26
9.9528,0.7072,0.1343,0.2529
10.011,0.6822,0.1264,0.2442
10.1738,0.6112,0.1083,0.22
10.232,0.5889,0.1023,0.2107
10.3018,0.5617,0.0948,0.1991
10.4414,0.5058,0.0785,0.1771
10.5111,0.4845,0.0704,0.1686
10.5809,0.4625,0.0632,0.1624
10.7089,0.4215,0.053,0.1543
10.8019,0.3925,0.0465,0.1475
10.8601,0.3743,0.0421,0.1417
10.9764,0.3372,0.0325,0.1278
11.0811,0.3093,0.0246,0.1159
11.1509,0.2901,0.0211,0.1098
11.2439,0.2634,0.0193,0.1032
11.3719,0.24,0.0202,0.0948
11.4417,0.2265,0.0211,0.0895
11.5231,0.2107,0.0216,0.0829
11.6511,0.1855,0.0214,0.0738
11.7325,0.1695,0.0211,0.0697
11.7906,0.1581,0.021,0.0675
