mH,u2_sens
2.000000000000000000e+00,3.327761722339020266e-05
2.200000000000000178e+00,2.250400811733438376e-05
2.399999999999999911e+00,1.611469335535112881e-05
2.600000000000000089e+00,1.203587544468280989e-05
2.799999999999999822e+00,9.271929773865427552e-06
3.000000000000000000e+00,7.358702557997394227e-06
3.200000000000000178e+00,5.976133729170221547e-06
3.399999999999999911e+00,4.939096217776776651e-06
3.600000000000000089e+00,4.143512458752437465e-06
3.799999999999999822e+00,3.521336191799237583e-06
4.000000000000000000e+00,3.033244110196577026e-06
4.200000000000000178e+00,2.641762150962401353e-06
4.400000000000000355e+00,2.323446801047963141e-06
4.599999999999999645e+00,2.058744501257557142e-06
4.799999999999999822e+00,1.840445513544233513e-06
5.000000000000000000e+00,1.658118588263436075e-06
5.200000000000000178e+00,1.501999041891716468e-06
5.400000000000000355e+00,1.370435668118152881e-06
5.599999999999999645e+00,1.256892379485034757e-06
5.799999999999999822e+00,1.159099575998811818e-06
6.000000000000000000e+00,1.074156307459546954e-06
6.200000000000000178e+00,1.001660353255813632e-06
6.400000000000000355e+00,9.368404050861351014e-07
6.599999999999999645e+00,8.805143198532511599e-07
6.799999999999999822e+00,8.312352619346031164e-07
7.000000000000000000e+00,7.888365111106616362e-07
7.200000000000000178e+00,7.502979759152646291e-07
7.400000000000000355e+00,7.172378976952156623e-07
7.599999999999999645e+00,6.881292756499603812e-07
7.799999999999999822e+00,6.630195348052524855e-07
8.000000000000000000e+00,6.407286747391693381e-07
8.199999999999999289e+00,6.214206975803930129e-07
8.400000000000000355e+00,6.051867014526637032e-07
8.599999999999999645e+00,5.916979522750788929e-07
8.800000000000000711e+00,5.807969560444342716e-07
9.000000000000000000e+00,5.718282634425801194e-07
9.199999999999999289e+00,5.653798101069791462e-07
9.400000000000000355e+00,5.610281312454557335e-07
9.599999999999999645e+00,5.592011076849696803e-07
9.800000000000000711e+00,5.595268212097814644e-07
1.000000000000000000e+01,5.626630351986572660e-07
1.019999999999999929e+01,5.683958780111446347e-07
1.040000000000000036e+01,5.770521255221324182e-07
1.059999999999999964e+01,5.883328790374670095e-07
1.080000000000000071e+01,6.035854094601044218e-07
1.100000000000000000e+01,6.222873935660367171e-07
1.119999999999999929e+01,6.461885208747731929e-07
1.140000000000000036e+01,6.754314921658803049e-07
1.159999999999999964e+01,7.119255584996198195e-07
1.180000000000000071e+01,7.565041616245955679e-07
1.200000000000000000e+01,8.107458339407773151e-07
1.219999999999999929e+01,8.785277438397744948e-07
1.240000000000000036e+01,9.629809333425283786e-07
1.259999999999999964e+01,1.070269905023717704e-06
1.280000000000000071e+01,1.208208851984052337e-06
1.300000000000000000e+01,1.389096487675732637e-06
1.319999999999999929e+01,1.630650805513665411e-06
1.340000000000000036e+01,1.961908215670596891e-06
1.359999999999999964e+01,2.429863682019676566e-06
1.380000000000000071e+01,3.108196908631152578e-06
1.400000000000000000e+01,4.133000465278204964e-06
1.419999999999999929e+01,5.788395416179694465e-06
1.440000000000000036e+01,8.836191681473946265e-06
1.459999999999999964e+01,1.850440622716057379e-05
