mH,u2_sens_high
4.799999999999999822e+00,7.940000000000000391e-01
5.000000000000000000e+00,6.310000000000000053e-01
5.200000000000000178e+00,5.010000000000000009e-01
5.400000000000000355e+00,3.980000000000000204e-01
5.599999999999999645e+00,3.159999999999999476e-01
5.799999999999999822e+00,2.510000000000000564e-01
6.000000000000000000e+00,2.000000000000000389e-01
6.200000000000000178e+00,1.580000000000000016e-01
6.400000000000000355e+00,1.260000000000000009e-01
6.599999999999999645e+00,1.000000000000000056e-01
6.799999999999999822e+00,7.939999999999998448e-02
7.000000000000000000e+00,6.310000000000000331e-02
7.200000000000000178e+00,6.310000000000000331e-02
7.400000000000000355e+00,5.009999999999999870e-02
7.599999999999999645e+00,3.980000000000000204e-02
7.799999999999999822e+00,3.160000000000000309e-02
8.000000000000000000e+00,2.510000000000000425e-02
8.199999999999999289e+00,2.510000000000000425e-02
8.400000000000000355e+00,2.000000000000000389e-02
8.599999999999999645e+00,1.580000000000000154e-02
8.800000000000000711e+00,1.260000000000000182e-02
9.000000000000000000e+00,1.260000000000000182e-02
9.199999999999999289e+00,1.000000000000000021e-02
9.400000000000000355e+00,7.940000000000002611e-03
9.599999999999999645e+00,7.940000000000002611e-03
9.800000000000000711e+00,6.310000000000000504e-03
1.000000000000000000e+01,5.010000000000002299e-03
1.019999999999999929e+01,3.979999999999998296e-03
1.040000000000000036e+01,3.979999999999998296e-03
1.059999999999999964e+01,3.160000000000000482e-03
1.080000000000000071e+01,2.509999999999999211e-03
1.100000000000000000e+01,2.509999999999999211e-03
1.119999999999999929e+01,2.000000000000000475e-03
1.140000000000000036e+01,1.580000000000000024e-03
1.159999999999999964e+01,1.580000000000000024e-03
1.180000000000000071e+01,1.260000000000000052e-03
1.200000000000000000e+01,1.000000000000000021e-03
1.219999999999999929e+01,7.940000000000003262e-04
1.240000000000000036e+01,7.940000000000003262e-04
1.259999999999999964e+01,6.310000000000000504e-04
1.280000000000000071e+01,5.010000000000002516e-04
1.300000000000000000e+01,3.980000000000001874e-04
1.319999999999999929e+01,3.160000000000000374e-04
1.340000000000000036e+01,2.509999999999999211e-04
1.359999999999999964e+01,2.000000000000000367e-04
1.380000000000000071e+01,1.579999999999999916e-04
1.400000000000000000e+01,1.000000000000000048e-04
1.419999999999999929e+01,3.979999999999997808e-05
