mH,u2_sens_low
2.000000000000000000e+00,7.655005315428250676e-05
2.200000000000000178e+00,5.196464705340757783e-05
2.399999999999999911e+00,3.731137755648691797e-05
2.600000000000000089e+00,2.783834771429052044e-05
2.799999999999999822e+00,2.150464988737845276e-05
3.000000000000000000e+00,1.706420328377594928e-05
3.200000000000000178e+00,1.382337491164220409e-05
3.399999999999999911e+00,1.140855222997496939e-05
3.600000000000000089e+00,9.568328842542952095e-06
3.799999999999999822e+00,8.135787370703868098e-06
4.000000000000000000e+00,6.996071116997875608e-06
4.200000000000000178e+00,6.089818455169922691e-06
4.400000000000000355e+00,5.343413292695430029e-06
4.599999999999999645e+00,4.732060027189928426e-06
4.799999999999999822e+00,4.229016996890634718e-06
5.000000000000000000e+00,3.800254813187970741e-06
5.200000000000000178e+00,3.443139901656669404e-06
5.400000000000000355e+00,3.133649776995644124e-06
5.599999999999999645e+00,2.873484281623288497e-06
5.799999999999999822e+00,2.648432946425409802e-06
6.000000000000000000e+00,2.456511483788586348e-06
6.200000000000000178e+00,2.287530542082276708e-06
6.400000000000000355e+00,2.137612587637935773e-06
6.599999999999999645e+00,2.009456520922942582e-06
6.799999999999999822e+00,1.895151209825733051e-06
7.000000000000000000e+00,1.796438437550028738e-06
7.200000000000000178e+00,1.709374916914671445e-06
7.400000000000000355e+00,1.632308249199311919e-06
7.599999999999999645e+00,1.566237173943759441e-06
7.799999999999999822e+00,1.507801709292715258e-06
8.000000000000000000e+00,1.456529322479169512e-06
8.199999999999999289e+00,1.413143772073639176e-06
8.400000000000000355e+00,1.374913707889554658e-06
8.599999999999999645e+00,1.345029234503369864e-06
8.800000000000000711e+00,1.318734273315611139e-06
9.000000000000000000e+00,1.298842282347431549e-06
9.199999999999999289e+00,1.283981632397699522e-06
9.400000000000000355e+00,1.274483825596289297e-06
9.599999999999999645e+00,1.270207946114008680e-06
9.800000000000000711e+00,1.270629088157188156e-06
1.000000000000000000e+01,1.277731780362011233e-06
1.019999999999999929e+01,1.291332607677351116e-06
1.040000000000000036e+01,1.311124723609429443e-06
1.059999999999999964e+01,1.337546518615794095e-06
1.080000000000000071e+01,1.372085733609286449e-06
1.100000000000000000e+01,1.415973094516248258e-06
1.119999999999999929e+01,1.471504598456138642e-06
1.140000000000000036e+01,1.539430720066221545e-06
1.159999999999999964e+01,1.623791121024135039e-06
1.180000000000000071e+01,1.728015975422417073e-06
1.200000000000000000e+01,1.856062013777042252e-06
1.219999999999999929e+01,2.015504429408173201e-06
1.240000000000000036e+01,2.217847117942268986e-06
1.259999999999999964e+01,2.475143878742902481e-06
1.280000000000000071e+01,2.812397991317997744e-06
1.300000000000000000e+01,3.259215157148827387e-06
1.319999999999999929e+01,3.876867961745796656e-06
1.340000000000000036e+01,4.754145384526526084e-06
1.359999999999999964e+01,6.065370996819875180e-06
1.380000000000000071e+01,8.173737617108471634e-06
1.400000000000000000e+01,1.209856415708288808e-05
1.419999999999999929e+01,2.656687783067037995e-05
