mass_mev,U2=1.000000e-07,U2=1.260000e-07,U2=1.580000e-07,U2=2.000000e-07,U2=2.510000e-07,U2=3.160000e-07,U2=3.980000e-07,U2=5.010000e-07,U2=6.310000e-07,U2=7.940000e-07,U2=1.000000e-06,U2=1.260000e-06,U2=1.580000e-06,U2=2.000000e-06,U2=2.510000e-06,U2=3.160000e-06,U2=3.980000e-06,U2=5.010000e-06,U2=6.310000e-06,U2=7.940000e-06,U2=1.000000e-05,U2=1.260000e-05,U2=1.580000e-05,U2=2.000000e-05,U2=2.510000e-05,U2=3.160000e-05,U2=3.980000e-05,U2=5.010000e-05,U2=6.310000e-05,U2=7.940000e-05,U2=1.000000e-04,U2=1.260000e-04,U2=1.580000e-04,U2=2.000000e-04,U2=2.510000e-04,U2=3.160000e-04,U2=3.980000e-04,U2=5.010000e-04,U2=6.310000e-04,U2=7.940000e-04,U2=1.000000e-03,U2=1.260000e-03,U2=1.580000e-03,U2=2.000000e-03,U2=2.510000e-03,U2=3.160000e-03,U2=3.980000e-03,U2=5.010000e-03,U2=6.310000e-03,U2=7.940000e-03,U2=1.000000e-02,U2=1.260000e-02,U2=1.580000e-02,U2=2.000000e-02,U2=2.510000e-02,U2=3.160000e-02,U2=3.980000e-02,U2=5.010000e-02,U2=6.310000e-02,U2=7.940000e-02,U2=1.000000e-01
2.0000000000e+00,,,,,,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.9914384563e-06,3.1365922810e-05,6.9210627926e-05,1.3254948766e-04,3.0406531598e-04,7.3630950452e-04,1.6357759735e-03,3.3284850277e-03,6.6095236180e-03,1.1323180167e-02,1.8388058464e-02,2.7618619862e-02,4.1486966954e-02,6.7171573698e-02,1.0711397752e-01,1.7103736549e-01,2.7019337797e-01,4.2470341557e-01,6.7262877195e-01,1.0779061035e+00,1.7066789777e+00,2.6877662706e+00,4.2270931909e+00,6.8033695387e+00,1.0677734434e+01,1.6892886963e+01,2.6967829473e+01,4.2529677692e+01,6.7604954359e+01,1.0714916604e+02,1.6967927184e+02,2.7012140874e+02,4.2370909026e+02,6.7879012964e+02,1.0706379205e+03,1.6879871554e+03,2.6830499408e+03,4.2470015165e+03,6.7453534720e+03,1.0680789804e+04,1.6912685709e+04,2.6779797632e+04,4.2260050932e+04,6.7412922397e+04,1.0579443834e+05,1.6722863027e+05,2.6539584842e+05,4.1695213847e+05,6.5986145563e+05,1.0368071616e+06,1.6303426688e+06
2.2000000000e+00,,,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4170768537e-06,8.0607248443e-06,2.5152758808e-05,5.5486783025e-05,1.4674115086e-04,3.9149672705e-04,7.7890000646e-04,1.7305787838e-03,3.3908232921e-03,6.0068855450e-03,1.0020803878e-02,1.5605907933e-02,2.3656428303e-02,3.6217337869e-02,5.7819965009e-02,9.2733087207e-02,1.4916336284e-01,2.3381175459e-01,3.6851725277e-01,5.8895321033e-01,9.2961005388e-01,1.4737478785e+00,2.3222419482e+00,3.6941446570e+00,5.8638501805e+00,9.1987720779e+00,1.4767226960e+01,2.3252037169e+01,3.6890451380e+01,5.8267276953e+01,9.2536472090e+01,1.4679240850e+02,2.3263478340e+02,3.6764579982e+02,5.8612589613e+02,9.2270486879e+02,1.4749492286e+03,2.3226548932e+03,3.6905881814e+03,5.8096714114e+03,9.2515334071e+03,1.4666012560e+04,2.3212757461e+04,3.6638662160e+04,5.8082527722e+04,9.0797870998e+04,1.4594209791e+05,2.2804612498e+05,3.5969620687e+05,5.6836388226e+05,8.9248866584e+05,1.4127511017e+06,2.2044772307e+06,3.4417722816e+06
2.4000000000e+00,1.2163449387e-11,1.3809606710e-12,8.4219853831e-14,1.9036135498e-15,1.6925989773e-17,4.8887476031e-06,6.1406871546e-06,1.9055881733e-05,6.3493231454e-05,1.4450835361e-04,2.9163415897e-04,6.5245280552e-04,1.4155584979e-03,2.7377235689e-03,4.7742062349e-03,7.8218226703e-03,1.1818979258e-02,1.8125079605e-02,2.8341797597e-02,4.4863096604e-02,7.2138217303e-02,1.1411112667e-01,1.7987518681e-01,2.8700792588e-01,4.5284716918e-01,7.1839662947e-01,1.1371614934e+00,1.8090611996e+00,2.8588853838e+00,4.5418630999e+00,7.1674767251e+00,1.1438406922e+01,1.7941306438e+01,2.8812914342e+01,4.5342868961e+01,7.1640794422e+01,1.1404752960e+02,1.8064352913e+02,2.8560366295e+02,4.5146580465e+02,7.1863125550e+02,1.1382592404e+03,1.7867306745e+03,2.8770193997e+03,4.5240350081e+03,7.1358076559e+03,1.1314421293e+04,1.7913590231e+04,2.8407279708e+04,4.4847751989e+04,7.0934483477e+04,1.1231463637e+05,1.7578325481e+05,2.8134185108e+05,4.3979452732e+05,6.9253835555e+05,1.0845225154e+06,1.7016276344e+06,2.6542436776e+06,4.1120388833e+06,6.3772393983e+06
2.6000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5923968506e-06,4.4875947018e-06,1.3892591255e-05,4.6053974578e-05,1.0415261686e-04,2.4786356743e-04,5.4030253700e-04,1.0818579359e-03,2.0151183980e-03,3.4030440318e-03,5.6634237694e-03,8.4067380551e-03,1.2768431722e-02,2.0134760285e-02,3.2683266723e-02,5.1042473477e-02,8.0844968431e-02,1.2878380635e-01,2.0398071495e-01,3.2223101492e-01,5.1545170250e-01,8.1370591247e-01,1.2870314392e+00,2.0365169588e+00,3.2314916202e+00,5.1381563023e+00,8.1395792517e+00,1.2893122785e+01,2.0417749889e+01,3.2183057293e+01,5.1368359407e+01,8.1045270095e+01,1.2838121999e+02,2.0430043498e+02,3.2406142662e+02,5.1041134357e+02,8.0994024083e+02,1.2859341976e+03,2.0318150872e+03,3.1946133230e+03,5.1339519668e+03,8.0746644290e+03,1.2807119035e+04,2.0223395162e+04,3.1985011384e+04,5.0529132249e+04,7.9998369658e+04,1.2601966092e+05,1.9920940732e+05,3.1188371573e+05,4.9457236978e+05,7.7232382588e+05,1.2097721956e+06,1.8923972393e+06,2.9198830340e+06,4.5369974089e+06,6.9696498805e+06,1.0661655499e+07
2.8000000000e+00,2.1043995825e-16,2.5509486252e-06,3.1846158863e-06,9.9038977528e-06,3.2430905347e-05,7.3137350599e-05,1.4668378766e-04,3.2303547390e-04,6.7517656891e-04,1.3210250631e-03,2.3298710124e-03,3.7322904681e-03,5.5700889820e-03,8.5696940850e-03,1.3392294542e-02,2.1301738240e-02,3.4221416420e-02,5.3946399956e-02,8.5910267169e-02,1.3668359574e-01,2.1634612636e-01,3.4300231889e-01,5.3915959818e-01,8.6535840246e-01,1.3609894980e+00,2.1603592379e+00,3.4119812039e+00,5.4165572905e+00,8.5935472162e+00,1.3570489567e+01,2.1554919413e+01,3.4318987500e+01,5.3979968710e+01,8.6202103387e+01,1.3639638725e+02,2.1556129217e+02,3.4124293860e+02,5.4215374543e+02,8.5639060699e+02,1.3553699174e+03,2.1464975098e+03,3.4173900601e+03,5.3699612619e+03,8.5743929496e+03,1.3485707538e+04,2.1300699931e+04,3.3788555542e+04,5.3193367297e+04,8.4262402441e+04,1.3304078358e+05,2.0971250176e+05,3.2943313823e+05,5.1369621638e+05,8.1038732910e+05,1.2565243630e+06,1.9595266454e+06,3.0284611589e+06,4.6745044957e+06,7.1000096695e+06,1.0782771080e+07,1.6123225998e+07
3.0000000000e+00,2.2290573266e-06,6.8652111685e-06,1.4908356151e-05,3.8800179804e-05,1.0102427068e-04,1.9543989847e-04,4.1710204952e-04,8.5422383708e-04,1.4565000559e-03,2.3416447507e-03,3.5411563896e-03,5.3481326008e-03,8.4652317137e-03,1.3625785806e-02,2.1921513885e-02,3.4126371036e-02,5.4563861332e-02,8.6118322277e-02,1.3686501508e-01,2.1599293817e-01,3.4166211092e-01,5.4452765018e-01,8.5687336357e-01,1.3751593589e+00,2.1578690143e+00,3.4348029494e+00,5.4326603000e+00,8.6028976327e+00,1.3649669762e+01,2.1666592086e+01,3.4260758409e+01,5.4513520459e+01,8.5457091199e+01,1.3731558137e+02,2.1600633605e+02,3.4284553030e+02,5.4327853335e+02,8.6045701335e+02,1.3581384864e+03,2.1583951897e+03,3.4256352491e+03,5.4212109769e+03,8.5078626039e+03,1.3623711643e+04,2.1396316144e+04,3.3786788731e+04,5.3362636147e+04,8.4393592550e+04,1.3238954304e+05,2.0910414071e+05,3.2774708669e+05,5.1526184056e+05,7.9515647944e+05,1.2528146439e+06,1.9325614509e+06,2.9721999713e+06,4.5484790824e+06,6.8804645460e+06,1.0338201760e+07,1.5343642955e+07,2.2394451059e+07
3.2000000000e+00,1.0218429715e-05,1.9143589698e-05,4.2484339525e-05,1.1617270589e-04,2.3577685454e-04,4.7614605984e-04,8.9245160334e-04,1.4499508700e-03,2.1932879611e-03,3.2580258688e-03,5.1361754989e-03,8.1377531915e-03,1.3058604591e-02,2.0867884265e-02,3.2872691603e-02,5.1876645731e-02,8.2844508922e-02,1.3149445603e-01,2.0751138132e-01,3.2880615960e-01,5.2532575149e-01,8.3076749347e-01,1.3065745769e+00,2.0884379846e+00,3.2945441875e+00,5.2190668515e+00,8.2818150916e+00,1.3097129542e+01,2.0845992219e+01,3.2963024945e+01,5.2187280494e+01,8.3117093556e+01,1.3037446850e+02,2.0925257685e+02,3.2829971057e+02,5.2009767619e+02,8.2575637877e+02,1.3091209203e+03,2.0729751581e+03,3.2792216317e+03,5.1893348606e+03,8.2474114551e+03,1.2924694295e+04,2.0627276300e+04,3.2424566479e+04,5.1131402835e+04,8.0491130184e+04,1.2664114939e+05,1.9944690670e+05,3.1206146479e+05,4.8784469370e+05,7.6339633301e+05,1.1696089123e+06,1.8292942364e+06,2.7835429297e+06,4.2460826669e+06,6.3720189598e+06,9.5148027338e+06,1.3983984957e+07,2.0107559210e+07,2.8443691992e+07
3.4000000000e+00,2.2080061962e-05,5.7250633844e-05,1.2299977357e-04,2.5366726522e-04,4.8581016460e-04,8.3872187528e-04,1.3147217064e-03,1.9341256323e-03,3.0325065501e-03,4.7903391806e-03,7.5944261388e-03,1.2215958658e-02,1.9127083189e-02,3.0554029688e-02,4.8117450721e-02,7.6340298043e-02,1.2203188045e-01,1.9225365976e-01,3.0633286045e-01,4.8341374961e-01,7.6740936986e-01,1.2208599197e+00,1.9107894298e+00,3.0717717300e+00,4.8426643240e+00,7.6633591335e+00,1.2163107335e+01,1.9289275735e+01,3.0550433835e+01,4.8438236116e+01,7.6869412834e+01,1.2130589808e+02,1.9135003174e+02,3.0659500788e+02,4.8053723208e+02,7.6365852075e+02,1.2121094419e+03,1.9202691336e+03,3.0427067262e+03,4.8017864731e+03,7.6060292568e+03,1.2015687711e+04,1.8854376245e+04,3.0140778955e+04,4.7126873356e+04,7.4338396806e+04,1.1714327069e+05,1.8375163492e+05,2.8698592371e+05,4.4777213221e+05,6.9559554821e+05,1.0783370204e+06,1.6442178204e+06,2.5454161287e+06,3.8217273608e+06,5.6985004445e+06,8.4340773408e+06,1.2274911377e+07,1.7517295709e+07,2.4356662701e+07,3.3215382846e+07
3.6000000000e+00,6.3850743246e-05,1.2875058033e-04,2.5613914003e-04,4.6840272260e-04,7.6318230753e-04,1.1480622923e-03,1.6851210638e-03,2.7044755283e-03,4.2793196909e-03,6.8922058243e-03,1.0910400474e-02,1.7370667132e-02,2.7431948608e-02,4.3972902490e-02,6.8505716955e-02,1.0935963540e-01,1.7210910084e-01,2.7417171574e-01,4.3472771057e-01,6.8749046792e-01,1.0926822863e+00,1.7297387890e+00,2.7268541457e+00,4.3727993965e+00,6.8816514971e+00,1.0907463170e+01,1.7342538800e+01,2.7375667599e+01,4.3519245727e+01,6.8658627872e+01,1.0913252102e+02,1.7295082665e+02,2.7218227430e+02,4.3525761811e+02,6.8438329284e+02,1.0835761613e+03,1.7227515279e+03,2.7236497023e+03,4.3108584638e+03,6.8202459296e+03,1.0780775551e+04,1.7035129996e+04,2.6640587672e+04,4.2492783415e+04,6.6394892977e+04,1.0441921942e+05,1.6362092659e+05,2.5534605501e+05,3.9759289634e+05,6.1528989440e+05,9.5286957317e+05,1.4640713673e+06,2.2023390177e+06,3.3464049518e+06,4.9416654966e+06,7.2696366822e+06,1.0462048741e+07,1.4782002550e+07,2.0333556337e+07,2.7229711581e+07,3.5210797549e+07
3.8000000000e+00,1.2362541068e-04,2.3966223407e-04,4.1749658131e-04,6.4924769161e-04,9.5609353094e-04,1.4837019444e-03,2.3724930455e-03,3.7727526785e-03,6.0502638595e-03,9.4465802987e-03,1.5188374380e-02,2.3979009221e-02,3.7702707334e-02,6.0650045196e-02,9.4884484018e-02,1.5180481960e-01,2.3916467869e-01,3.8044644405e-01,6.0231667579e-01,9.5263105240e-01,1.5083378188e+00,2.4008625252e+00,3.7711915607e+00,6.0279819946e+00,9.5067865775e+00,1.5114599943e+01,2.3920592012e+01,3.7903356524e+01,6.0097628933e+01,9.5211725823e+01,1.5081765395e+02,2.3902568077e+02,3.7618139935e+02,6.0366472894e+02,9.4740392038e+02,1.4974770204e+03,2.3758935177e+03,3.7622194106e+03,5.9506742481e+03,9.3897436769e+03,1.4801433291e+04,2.3441639200e+04,3.6658849050e+04,5.8131090677e+04,9.0665290524e+04,1.4192012703e+05,2.2106534841e+05,3.4540253933e+05,5.3478408422e+05,8.2182700330e+05,1.2539828879e+06,1.8965599492e+06,2.8269176494e+06,4.2161460557e+06,6.1043729732e+06,8.7550619593e+06,1.2158616910e+07,1.6605373427e+07,2.1917877907e+07,2.7871382980e+07,3.3995472888e+07
