mass_mev,U2=1.000000e-07,U2=1.260000e-07,U2=1.580000e-07,U2=2.000000e-07,U2=2.510000e-07,U2=3.160000e-07,U2=3.980000e-07,U2=5.010000e-07,U2=6.310000e-07,U2=7.940000e-07,U2=1.000000e-06,U2=1.260000e-06,U2=1.580000e-06,U2=2.000000e-06,U2=2.510000e-06,U2=3.160000e-06,U2=3.980000e-06,U2=5.010000e-06,U2=6.310000e-06,U2=7.940000e-06,U2=1.000000e-05,U2=1.260000e-05,U2=1.580000e-05,U2=2.000000e-05,U2=2.510000e-05,U2=3.160000e-05,U2=3.980000e-05,U2=5.010000e-05,U2=6.310000e-05,U2=7.940000e-05,U2=1.000000e-04,U2=1.260000e-04,U2=1.580000e-04,U2=2.000000e-04,U2=2.510000e-04,U2=3.160000e-04,U2=3.980000e-04,U2=5.010000e-04,U2=6.310000e-04,U2=7.940000e-04,U2=1.000000e-03,U2=1.260000e-03,U2=1.580000e-03,U2=2.000000e-03,U2=2.510000e-03,U2=3.160000e-03,U2=3.980000e-03,U2=5.010000e-03,U2=6.310000e-03,U2=7.940000e-03,U2=1.000000e-02,U2=1.260000e-02,U2=1.580000e-02,U2=2.000000e-02,U2=2.510000e-02,U2=3.160000e-02,U2=3.980000e-02,U2=5.010000e-02,U2=6.310000e-02,U2=7.940000e-02,U2=1.000000e-01
2.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0486946687e-05,3.3109816865e-05,7.3792397913e-05,1.4288276956e-04,3.3383322462e-04,8.3216679798e-04,1.9200149930e-03,4.0979587404e-03,8.6140018481e-03,1.5599675099e-02,2.6174799596e-02,3.9316440363e-02,5.7946737836e-02,9.3025113143e-02,1.4840458529e-01,2.3922982795e-01,3.7472211077e-01,5.9103972553e-01,9.3602667959e-01,1.4994033907e+00,2.3700912076e+00,3.7544403060e+00,5.8898593973e+00,9.4755770118e+00,1.4873982328e+01,2.3607925209e+01,3.7502196458e+01,5.9380745709e+01,9.4339953893e+01,1.4910821882e+02,2.3637477968e+02,3.7510610557e+02,5.9002546964e+02,9.4467966938e+02,1.4881959362e+03,2.3577544668e+03,3.7401200786e+03,5.9236240746e+03,9.3909804978e+03,1.4862297090e+04,2.3557569274e+04,3.7368028510e+04,5.8689624382e+04,9.3899018564e+04,1.4764006076e+05,2.3347801782e+05,3.6930805619e+05,5.8308460379e+05,9.2079687371e+05,1.4497555254e+06,2.2833611137e+06
2.2000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.7344018698e-06,8.4818486287e-06,2.6599787233e-05,5.9244672609e-05,1.5882967762e-04,4.3260262884e-04,8.8611051803e-04,2.0511292654e-03,4.2201713697e-03,7.8763332394e-03,1.3690557931e-02,2.1550358945e-02,3.2208403636e-02,4.8713919686e-02,7.7707695524e-02,1.2500079153e-01,2.0092859738e-01,3.1584658920e-01,4.9737792578e-01,7.9313888484e-01,1.2526411549e+00,1.9856746635e+00,3.1399469269e+00,4.9864271058e+00,7.9151371153e+00,1.2437327886e+01,1.9944661688e+01,3.1375880024e+01,4.9779982161e+01,7.8912317442e+01,1.2511353410e+02,1.9846466997e+02,3.1405303193e+02,4.9825956120e+02,7.9084369503e+02,1.2433197267e+03,1.9914522961e+03,3.1361376341e+03,4.9680803669e+03,7.8767729319e+03,1.2473248853e+04,1.9770844648e+04,3.1272660165e+04,4.9537143614e+04,7.8516428147e+04,1.2321432875e+05,1.9689975433e+05,3.0911449153e+05,4.8794200370e+05,7.7003642089e+05,1.2123239776e+06,1.9074991584e+06,2.9897702969e+06,4.6823011477e+06
2.4000000000e+00,1.2677655077e-11,1.4388154399e-12,8.7981962550e-14,1.9873401921e-15,1.7704269458e-17,5.1261391050e-06,6.4563374947e-06,2.0161540621e-05,6.7802051849e-05,1.5634694423e-04,3.2206975038e-04,7.4149105092e-04,1.6702952222e-03,3.3955419015e-03,6.1794023232e-03,1.0489516509e-02,1.5838464873e-02,2.3802436840e-02,3.7021001093e-02,5.8772102345e-02,9.4902473660e-02,1.4960292447e-01,2.3540791363e-01,3.7748306749e-01,5.9658942531e-01,9.4459998879e-01,1.4921420987e+00,2.3745323283e+00,3.7481781259e+00,5.9576356314e+00,9.4337453771e+00,1.4991555488e+01,2.3605739748e+01,3.7796351063e+01,5.9487902392e+01,9.4224529701e+01,1.4955680082e+02,2.3696859431e+02,3.7579429335e+02,5.9471474536e+02,9.4306088488e+02,1.4970201097e+03,2.3526639997e+03,3.7689387564e+03,5.9330828554e+03,9.3960203514e+03,1.4891511198e+04,2.3570823604e+04,3.7336732700e+04,5.9010976446e+04,9.3395061917e+04,1.4785050532e+05,2.3168090732e+05,3.6953024375e+05,5.7879886202e+05,9.1097097622e+05,1.4323936331e+06,2.2448024939e+06,3.5120192622e+06,5.4659562452e+06,8.4854492693e+06
2.6000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7608451028e-06,4.7198589613e-06,1.4681734483e-05,4.9010274325e-05,1.1231572365e-04,2.7314896734e-04,6.1127111325e-04,1.2675844026e-03,2.4645545693e-03,4.3458834453e-03,7.4212120573e-03,1.0950979008e-02,1.6415241852e-02,2.5775132538e-02,4.1961338216e-02,6.5544948862e-02,1.0371254818e-01,1.6480530099e-01,2.6130937978e-01,4.1274627248e-01,6.6064071172e-01,1.0416635676e+00,1.6460939020e+00,2.6147742940e+00,4.1378452420e+00,6.5743155297e+00,1.0430009292e+01,1.6529008865e+01,2.6212224163e+01,4.1214360000e+01,6.5981220257e+01,1.0393217417e+02,1.6477932511e+02,2.6135401686e+02,4.1410425606e+02,6.5652827686e+02,1.0394510278e+03,1.6478730299e+03,2.6148140214e+03,4.1098846301e+03,6.5803024439e+03,1.0354257834e+04,1.6391643674e+04,2.5963712318e+04,4.1065390540e+04,6.4991745340e+04,1.0260279041e+05,1.6215198853e+05,2.5623436533e+05,4.0062134326e+05,6.3714668304e+05,9.9450652967e+05,1.5583421729e+06,2.4368348905e+06,3.7929425503e+06,5.8838753049e+06,9.0622032278e+06,1.3887969752e+07
2.8000000000e+00,2.1979670393e-16,2.6691939156e-06,3.3470833102e-06,1.0430865055e-05,3.4467595569e-05,7.8533379076e-05,1.6035045712e-04,3.6151110030e-04,7.8024426111e-04,1.5888781399e-03,2.9192354593e-03,4.7883027585e-03,7.1001771600e-03,1.0773255833e-02,1.6761110051e-02,2.6799021525e-02,4.3042016954e-02,6.7783781012e-02,1.0793560717e-01,1.7185987494e-01,2.7116820170e-01,4.3142775067e-01,6.7736170733e-01,1.0861375905e+00,1.7053082961e+00,2.7121792225e+00,4.2945012006e+00,6.8011316774e+00,1.0782503189e+01,1.7082690794e+01,2.7103219470e+01,4.3052647590e+01,6.7717898850e+01,1.0847944149e+02,1.7079223558e+02,2.7061186358e+02,4.2913384047e+02,6.7990186284e+02,1.0779530838e+03,1.7063702851e+03,2.7046577244e+03,4.2910472879e+03,6.7404243383e+03,1.0788249663e+04,1.6966355335e+04,2.6842967413e+04,4.2481556435e+04,6.7118427438e+04,1.0607850850e+05,1.6718917195e+05,2.6365996776e+05,4.1554168651e+05,6.4758426269e+05,1.0255730708e+06,1.5926741742e+06,2.4797229195e+06,3.8469350628e+06,5.9293282287e+06,9.0874307814e+06,1.3791355221e+07,2.0757558511e+07
3.0000000000e+00,2.3362442110e-06,7.2240286727e-06,1.5788067259e-05,4.1400548239e-05,1.0949478744e-04,2.1627352736e-04,4.7477809215e-04,1.0078861612e-03,1.7895759275e-03,2.9473929498e-03,4.4302111666e-03,6.6184026147e-03,1.0381819392e-02,1.6752672043e-02,2.7077972115e-02,4.2118842609e-02,6.7394408899e-02,1.0626775044e-01,1.6889409038e-01,2.6698096236e-01,4.2257196507e-01,6.7327041987e-01,1.0564597371e+00,1.6951952748e+00,2.6711919764e+00,4.2366269697e+00,6.7051668683e+00,1.0622959637e+01,1.6862269311e+01,2.6725123453e+01,4.2367845680e+01,6.7224289029e+01,1.0572708863e+02,1.6938530027e+02,2.6675023285e+02,4.2275460591e+02,6.7035836944e+02,1.0615979832e+03,1.6830307406e+03,2.6630744237e+03,4.2202698612e+03,6.6926878063e+03,1.0509372619e+04,1.6808399001e+04,2.6414552905e+04,4.1749195249e+04,6.5993045036e+04,1.0410479430e+05,1.6421834211e+05,2.5820426344e+05,4.0596923982e+05,6.3741630036e+05,9.8880381943e+05,1.5566395516e+06,2.4001905820e+06,3.7037682824e+06,5.6828284742e+06,8.6416284174e+06,1.3027624578e+07,1.9380872507e+07,2.8474641192e+07
3.2000000000e+00,1.0778820598e-05,2.0342581448e-05,4.5693877480e-05,1.2698968747e-04,2.6388008343e-04,5.4917540522e-04,1.0678579502e-03,1.7851261573e-03,2.7175595493e-03,3.9817484708e-03,6.2283851122e-03,9.8789113099e-03,1.5895081968e-02,2.5358338921e-02,4.0056407772e-02,6.3136389420e-02,1.0084664320e-01,1.5993001220e-01,2.5217083646e-01,3.9953116673e-01,6.3648074960e-01,1.0087026390e+00,1.5867078474e+00,2.5384553489e+00,4.0021187895e+00,6.3377416259e+00,1.0059780739e+01,1.5941586891e+01,2.5294850530e+01,4.0056658620e+01,6.3509036416e+01,1.0080419817e+02,1.5849264943e+02,2.5393189352e+02,3.9974151394e+02,6.3326921817e+02,1.0041544602e+03,1.5901090992e+03,2.5201506980e+03,3.9861686400e+03,6.3149032085e+03,1.0008387179e+04,1.5704939785e+04,2.5096757918e+04,3.9398972610e+04,6.2184740450e+04,9.8129997177e+04,1.5447245087e+05,2.4302047849e+05,3.8083677865e+05,5.9629239081e+05,9.3139139979e+05,1.4357371506e+06,2.2418920491e+06,3.4234551701e+06,5.2194597078e+06,7.8910451515e+06,1.1786686570e+07,1.7387609520e+07,2.5204075271e+07,3.5893811509e+07
3.4000000000e+00,2.3549805312e-05,6.1816392602e-05,1.3541458249e-04,2.8707082661e-04,5.6630471709e-04,1.0094258870e-03,1.6019516344e-03,2.3349135417e-03,3.6273567901e-03,5.7310305321e-03,9.1112704420e-03,1.4666777113e-02,2.2956999399e-02,3.6634209427e-02,5.7633281895e-02,9.1476996684e-02,1.4635454174e-01,2.3019428118e-01,3.6648824020e-01,5.7966754555e-01,9.1930635967e-01,1.4608480349e+00,2.2947463969e+00,3.6860965872e+00,5.7971680422e+00,9.1911045282e+00,1.4578992119e+01,2.3092908732e+01,3.6629458821e+01,5.7972372497e+01,9.1971061060e+01,1.4595297737e+02,2.2940073099e+02,3.6746570131e+02,5.7840998577e+02,9.1621797591e+02,1.4522889960e+03,2.2990076546e+03,3.6424769868e+03,5.7591259857e+03,9.1172061813e+03,1.4439502621e+04,2.2637294535e+04,3.6130491903e+04,5.6637430724e+04,8.9232131949e+04,1.4048313949e+05,2.2050548999e+05,3.4565373156e+05,5.3924411071e+05,8.3959438039e+05,1.3023079399e+06,1.9906748757e+06,3.0749910951e+06,4.6360494460e+06,6.9577060932e+06,1.0319691343e+07,1.5063828605e+07,2.1616416833e+07,3.0321887660e+07,4.1522342733e+07
3.6000000000e+00,6.9344943087e-05,1.4283242956e-04,2.9114329885e-04,5.5048563575e-04,9.1533913133e-04,1.3754025857e-03,1.9991470884e-03,3.1922892483e-03,5.0681222357e-03,8.1869760935e-03,1.2922880683e-02,2.0593070860e-02,3.2495763422e-02,5.2043249134e-02,8.1331730922e-02,1.2948557894e-01,2.0406096707e-01,3.2459417486e-01,5.1456809641e-01,8.1698213656e-01,1.2935590750e+00,2.0520550805e+00,3.2257102333e+00,5.1697102281e+00,8.1495600496e+00,1.2917718528e+01,2.0478637319e+01,3.2441006326e+01,5.1443013023e+01,8.1435924413e+01,1.2911576851e+02,2.0497146964e+02,3.2217020299e+02,5.1590368162e+02,8.1202559633e+02,1.2859911717e+03,2.0377704639e+03,3.2244751886e+03,5.1062606917e+03,8.0674780336e+03,1.2762090027e+04,2.0191937506e+04,3.1617498038e+04,5.0382119509e+04,7.8824771138e+04,1.2388238017e+05,1.9443498264e+05,3.0401959163e+05,4.7428473857e+05,7.3554397963e+05,1.1368181119e+06,1.7473312335e+06,2.6418346261e+06,4.0242979397e+06,5.9688438316e+06,8.7803907073e+06,1.2712860734e+07,1.8031010296e+07,2.5000684032e+07,3.3672216826e+07,4.3929481802e+07
3.8000000000e+00,1.3731884601e-04,2.7385274989e-04,4.9000795910e-04,7.7333741288e-04,1.1294666638e-03,1.7387811372e-03,2.7739372434e-03,4.4159333744e-03,7.0940879623e-03,1.1057943881e-02,1.7807501735e-02,2.8094255813e-02,4.4161297024e-02,7.1105380318e-02,1.1099028415e-01,1.7749759672e-01,2.7972149880e-01,4.4548242298e-01,7.0443099246e-01,1.1159111756e+00,1.7701210158e+00,2.8093735302e+00,4.4211439298e+00,7.0740998857e+00,1.1149563223e+01,1.7669421614e+01,2.8043226782e+01,4.4403079267e+01,7.0410681444e+01,1.1144998926e+02,1.7670078493e+02,2.8043795334e+02,4.4069985865e+02,7.0558673244e+02,1.1102563169e+03,1.7576846570e+03,2.7840327135e+03,4.4033466884e+03,6.9682474187e+03,1.1000297188e+04,1.7383183740e+04,2.7467237533e+04,4.2939628513e+04,6.8279468007e+04,1.0655347991e+05,1.6692165207e+05,2.6093335585e+05,4.0596429248e+05,6.2939469474e+05,9.6864444126e+05,1.4829679725e+06,2.2529816456e+06,3.3593393416e+06,5.0281404583e+06,7.3068634993e+06,1.0485104143e+07,1.4736824326e+07,2.0177619115e+07,2.6826939581e+07,3.4381948806e+07,4.2276616535e+07
