# source: ../JUNO/paperfig/expected_bkg_10yr.jpg
"# color: 99,197,88  strategy: top  interp: log"
x,y
5,259.896
5.1,259.896
5.2,262.826
5.3,262.826
5.4,265.789
5.5,265.789
5.6,268.786
5.7,268.786
5.8,271.816
5.9,271.816
6,271.816
6.1,271.816
6.2,274.88
6.3,274.88
6.4,274.88
6.5,274.88
6.6,274.88
6.7,274.88
6.8,274.88
6.9,271.816
7,271.816
7.1,271.816
7.2,268.786
7.3,268.786
7.4,268.786
7.5,265.789
7.6,265.789
7.7,262.826
7.8,262.826
7.9,259.896
8,256.999
8.1,254.134
8.2,254.134
8.3,251.301
8.4,248.5
8.5,245.73
8.6,242.99
8.7,242.99
8.8,237.603
8.9,234.954
9,229.745
9.1,227.184
9.2,222.147
9.3,219.671
9.4,214.8
9.5,207.697
9.6,205.381
9.7,198.589
9.8,194.186
9.9,189.881
10,181.554
10.1,177.529
10.2,175.55
10.3,169.744
10.4,164.131
10.5,160.492
10.6,153.454
10.7,150.052
10.8,141.873
10.9,135.651
11,128.257
11.1,121.266
11.2,114.656
11.3,107.198
11.4,100.224
11.5,93.7049
11.6,87.6095
11.7,80.0945
11.8,73.2241
11.9,67.6978
12,64.0076
12.1,57.8648
12.2,54.1008
12.3,48.9087
12.4,45.7273
12.5,40.4223
12.6,36.1356
12.7,32.3035
12.8,28.2376
12.9,24.9797
13,21.336
13.1,17.8327
13.2,14.7384
13.3,11.647
13.4,9.20392
13.5,6.87686
13.6,5.08089
13.7,3.43195
13.8,2.39743
13.9,1.51404
14,
