# source: paperfig/expected_bkg_10yr.jpg
# color: #a049a4  strategy: top  interp: log
x,y
5,57.2198
5.1,57.2198
5.2,57.2198
5.3,55.3274
5.4,55.3274
5.5,52.9013
5.6,52.9013
5.7,52.9013
5.8,53.4977
5.9,53.4977
6,51.1518
6.1,48.9087
6.2,48.9087
6.3,48.9087
6.4,48.9087
6.5,47.8244
6.6,47.8244
6.7,46.7641
6.8,46.7641
6.9,46.2428
7,45.7273
7.1,44.7134
7.2,44.7134
7.3,43.7221
7.4,43.2347
7.5,43.2347
7.6,43.2347
7.7,43.2347
7.8,43.2347
7.9,41.8049
8,41.8049
8.1,41.3388
8.2,40.878
8.3,40.878
8.4,40.878
8.5,40.4223
8.6,39.9717
8.7,39.9717
8.8,39.9717
8.9,39.5261
9,38.6498
9.1,38.2189
9.2,37.3716
9.3,36.955
9.4,35.3345
9.5,34.5511
9.6,34.1659
9.7,32.3035
9.8,31.2352
9.9,30.5427
10,29.2034
10.1,28.5559
10.2,29.5326
10.3,29.5326
10.4,29.2034
10.5,28.5559
10.6,27.6115
10.7,26.6984
10.8,24.6834
10.9,22.8205
11,20.6304
11.1,18.237
11.2,15.7639
11.3,13.0286
11.4,10.2958
11.5,8.04545
11.6,6.07906
11.7,4.15246
11.8,2.99998
11.9,2.14319
12,1.69364
12.1,1.48047
12.2,
12.3,
12.4,
12.5,
12.6,
12.7,
12.8,
12.9,
13,
