mass_mev,U2=1.00e-07,U2=1.26e-07,U2=1.58e-07,U2=2.00e-07,U2=2.51e-07,U2=3.16e-07,U2=3.98e-07,U2=5.01e-07,U2=6.31e-07,U2=7.94e-07,U2=1.00e-06,U2=1.26e-06,U2=1.58e-06,U2=2.00e-06,U2=2.51e-06,U2=3.16e-06,U2=3.98e-06,U2=5.01e-06,U2=6.31e-06,U2=7.94e-06,U2=1.00e-05,U2=1.26e-05,U2=1.58e-05,U2=2.00e-05,U2=2.51e-05,U2=3.16e-05,U2=3.98e-05,U2=5.01e-05,U2=6.31e-05,U2=7.94e-05,U2=1.00e-04,U2=1.26e-04,U2=1.58e-04,U2=2.00e-04,U2=2.51e-04,U2=3.16e-04,U2=3.98e-04,U2=5.01e-04,U2=6.31e-04,U2=7.94e-04,U2=1.00e-03,U2=1.26e-03,U2=1.58e-03,U2=2.00e-03,U2=2.51e-03,U2=3.16e-03,U2=3.98e-03,U2=5.01e-03,U2=6.31e-03,U2=7.94e-03,U2=1.00e-02,U2=1.26e-02,U2=1.58e-02,U2=2.00e-02,U2=2.51e-02,U2=3.16e-02,U2=3.98e-02,U2=5.01e-02,U2=6.31e-02,U2=7.94e-02,U2=1.00e-01
2.000000,nan,nan,nan,nan,nan,97.952000,97.843000,97.868000,97.794000,97.628000,97.537000,97.281000,96.791000,96.091000,95.335000,93.742000,91.313000,88.129000,83.616000,78.186000,73.461000,73.093000,75.026000,76.254000,76.329000,75.528000,75.846000,75.743000,75.627000,75.579000,75.687000,75.338000,75.631000,75.529000,75.681000,75.647000,75.666000,75.609000,75.562000,75.491000,75.722000,76.014000,75.739000,75.839000,75.692000,75.210000,75.797000,75.599000,75.822000,75.593000,75.560000,75.713000,75.655000,75.777000,75.439000,75.572000,75.585000,75.494000,75.497000,75.356000,75.378000
2.200000,nan,nan,97.976000,97.961000,97.937000,97.866000,97.678000,97.680000,97.347000,97.132000,96.751000,95.980000,94.858000,93.362000,91.040000,87.438000,83.011000,78.352000,75.866000,77.723000,78.831000,79.301000,78.620000,78.755000,78.648000,78.644000,78.914000,78.813000,78.964000,78.840000,78.540000,78.805000,78.932000,78.926000,78.704000,78.783000,78.692000,79.028000,78.840000,78.880000,78.860000,78.844000,78.915000,78.919000,78.832000,78.586000,78.801000,78.878000,78.998000,78.984000,78.691000,78.749000,78.481000,78.759000,78.616000,78.628000,78.675000,78.275000,78.380000,78.265000,78.045000
2.400000,97.800000,97.932000,97.780000,97.900000,97.739000,97.625000,97.453000,97.170000,96.740000,96.047000,95.023000,93.367000,91.103000,87.436000,83.663000,79.805000,79.596000,81.256000,81.964000,81.743000,81.308000,81.459000,81.673000,81.612000,81.431000,81.376000,81.624000,81.640000,81.889000,81.524000,81.521000,81.414000,81.441000,81.329000,81.501000,81.756000,81.646000,81.645000,81.370000,81.481000,81.636000,81.642000,81.512000,81.602000,81.731000,81.514000,81.607000,81.453000,81.542000,81.766000,81.470000,81.269000,81.322000,81.381000,81.287000,81.240000,81.388000,81.270000,81.200000,80.866000,80.776000
2.600000,97.788000,97.821000,97.776000,97.565000,97.347000,97.003000,96.812000,96.065000,95.118000,93.619000,91.499000,88.387000,84.923000,81.924000,82.217000,83.476000,84.065000,84.101000,83.551000,83.655000,83.977000,83.830000,83.885000,83.843000,83.878000,83.800000,83.757000,83.605000,83.878000,83.825000,83.785000,83.659000,83.874000,83.575000,83.755000,83.711000,83.850000,83.894000,83.739000,83.606000,83.674000,83.625000,83.593000,83.588000,83.901000,83.622000,83.860000,83.809000,83.504000,83.744000,83.491000,83.537000,83.516000,83.516000,83.686000,83.313000,83.285000,83.100000,82.998000,82.817000,82.509000
2.800000,97.771000,97.608000,97.605000,97.307000,96.939000,96.394000,95.396000,94.163000,92.213000,89.627000,86.604000,84.138000,84.296000,85.419000,85.888000,85.548000,85.435000,85.666000,85.659000,85.596000,85.668000,85.308000,85.634000,85.757000,85.785000,85.699000,85.612000,85.495000,85.614000,85.560000,85.388000,85.673000,85.705000,85.501000,85.641000,85.612000,85.727000,85.508000,85.650000,85.494000,85.684000,85.643000,85.778000,85.772000,85.576000,85.360000,85.517000,85.559000,85.584000,85.234000,85.251000,85.335000,85.259000,85.374000,85.114000,85.089000,84.976000,84.878000,84.521000,84.475000,83.978000
3.000000,97.610000,97.434000,97.191000,96.713000,95.946000,94.773000,93.389000,91.244000,88.346000,85.903000,85.873000,86.590000,87.462000,87.446000,87.143000,87.260000,87.117000,86.989000,87.217000,87.142000,86.976000,87.127000,87.449000,86.941000,87.006000,87.203000,87.178000,87.208000,87.117000,87.296000,87.100000,87.044000,87.009000,87.296000,87.141000,87.136000,87.060000,87.225000,87.101000,87.174000,87.062000,87.164000,87.148000,87.166000,87.033000,87.116000,86.876000,87.312000,87.037000,86.858000,86.935000,86.940000,86.777000,86.679000,86.821000,86.541000,86.307000,86.256000,85.979000,85.588000,85.476000
3.200000,97.249000,96.985000,96.357000,95.430000,94.161000,92.325000,90.007000,87.709000,87.002000,88.082000,88.472000,88.631000,88.197000,88.090000,88.540000,88.420000,88.264000,88.399000,88.263000,88.292000,88.530000,88.376000,88.355000,88.235000,88.487000,88.304000,88.484000,88.379000,88.584000,88.454000,88.214000,88.399000,88.217000,88.447000,88.217000,88.165000,88.201000,88.290000,88.367000,88.448000,88.523000,88.333000,88.478000,88.219000,88.381000,88.189000,88.119000,88.314000,88.094000,88.012000,88.123000,87.997000,87.880000,87.667000,87.631000,87.383000,87.331000,86.940000,86.743000,86.358000,86.005000
3.400000,96.739000,96.184000,95.181000,93.668000,91.690000,89.498000,88.298000,88.878000,89.384000,89.687000,89.438000,89.239000,89.481000,89.331000,89.571000,89.350000,89.529000,89.343000,89.430000,89.451000,89.560000,89.595000,89.396000,89.463000,89.482000,89.429000,89.469000,89.351000,89.398000,89.492000,89.417000,89.372000,89.443000,89.599000,89.410000,89.462000,89.558000,89.570000,89.522000,89.367000,89.465000,89.403000,89.372000,89.414000,89.233000,89.234000,89.316000,89.262000,89.201000,89.179000,89.188000,89.129000,88.677000,88.757000,88.679000,88.443000,88.152000,87.911000,87.492000,87.193000,86.866000
3.600000,95.822000,94.837000,93.239000,91.271000,89.448000,89.298000,90.110000,90.381000,90.453000,90.328000,90.327000,90.357000,90.375000,90.345000,90.399000,90.361000,90.367000,90.363000,90.155000,90.377000,90.404000,90.326000,90.234000,90.387000,90.395000,90.259000,90.281000,90.260000,90.451000,90.303000,90.247000,90.364000,90.346000,90.326000,90.293000,90.307000,90.294000,90.358000,90.165000,90.247000,90.172000,90.289000,90.348000,90.068000,90.288000,90.208000,90.025000,90.333000,90.025000,89.972000,89.849000,89.898000,89.642000,89.377000,89.168000,89.119000,88.812000,88.469000,87.985000,87.773000,87.174000
3.800000,94.539000,93.037000,91.051000,90.034000,90.687000,91.230000,91.297000,91.211000,91.040000,91.110000,91.180000,91.022000,90.992000,91.195000,91.127000,91.040000,90.998000,91.124000,91.286000,91.147000,90.937000,91.111000,90.972000,91.069000,91.065000,91.090000,91.331000,91.190000,91.103000,91.098000,90.895000,91.206000,91.165000,91.080000,91.274000,91.081000,91.042000,91.190000,91.200000,90.947000,90.989000,90.981000,91.074000,90.950000,90.939000,90.940000,90.756000,90.863000,90.703000,90.636000,90.609000,90.603000,90.213000,90.017000,89.722000,89.500000,89.247000,88.994000,88.424000,87.954000,87.512000
