mass_mev,U2=1.00e-07,U2=1.26e-07,U2=1.58e-07,U2=2.00e-07,U2=2.51e-07,U2=3.16e-07,U2=3.98e-07,U2=5.01e-07,U2=6.31e-07,U2=7.94e-07,U2=1.00e-06,U2=1.26e-06,U2=1.58e-06,U2=2.00e-06,U2=2.51e-06,U2=3.16e-06,U2=3.98e-06,U2=5.01e-06,U2=6.31e-06,U2=7.94e-06,U2=1.00e-05,U2=1.26e-05,U2=1.58e-05,U2=2.00e-05,U2=2.51e-05,U2=3.16e-05,U2=3.98e-05,U2=5.01e-05,U2=6.31e-05,U2=7.94e-05,U2=1.00e-04,U2=1.26e-04,U2=1.58e-04,U2=2.00e-04,U2=2.51e-04,U2=3.16e-04,U2=3.98e-04,U2=5.01e-04,U2=6.31e-04,U2=7.94e-04,U2=1.00e-03,U2=1.26e-03,U2=1.58e-03,U2=2.00e-03,U2=2.51e-03,U2=3.16e-03,U2=3.98e-03,U2=5.01e-03,U2=6.31e-03,U2=7.94e-03,U2=1.00e-02,U2=1.26e-02,U2=1.58e-02,U2=2.00e-02,U2=2.51e-02,U2=3.16e-02,U2=3.98e-02,U2=5.01e-02,U2=6.31e-02,U2=7.94e-02,U2=1.00e-01,U2=1.26e-01,U2=1.58e-01,U2=2.00e-01,U2=2.51e-01,U2=3.16e-01,U2=3.98e-01,U2=5.01e-01,U2=6.31e-01,U2=7.94e-01,U2=1.00e+00
2.000000,nan,nan,nan,nan,nan,95.953000,95.965000,95.718000,95.640000,95.362000,95.275000,94.733000,93.791000,92.768000,91.083000,88.481000,85.196000,81.223000,76.730000,72.586000,70.251000,70.247000,71.595000,72.208000,72.177000,71.495000,72.105000,71.857000,71.860000,71.889000,72.009000,71.589000,71.769000,71.799000,71.788000,71.556000,71.910000,71.622000,71.661000,71.860000,71.784000,72.012000,71.812000,71.854000,71.942000,71.593000,71.737000,71.696000,71.828000,71.865000,71.793000,71.665000,72.006000,71.793000,71.657000,71.625000,71.863000,71.508000,71.662000,71.516000,71.401000,71.387000,71.191000,71.293000,71.002000,70.867000,70.612000,70.351000,69.700000,69.313000,68.957000
2.200000,nan,nan,95.947000,95.967000,95.946000,95.648000,95.605000,95.288000,95.035000,94.560000,93.657000,92.389000,90.498000,87.901000,84.372000,80.348000,76.265000,73.195000,72.416000,73.448000,74.347000,74.407000,74.186000,74.237000,74.027000,74.092000,74.256000,74.212000,74.219000,73.958000,74.084000,74.084000,73.961000,74.041000,74.108000,74.107000,73.838000,73.962000,73.964000,74.075000,73.786000,74.114000,74.213000,74.064000,74.061000,74.286000,73.757000,74.171000,74.180000,74.227000,73.962000,73.975000,73.691000,74.120000,73.774000,73.717000,73.810000,73.618000,74.063000,73.734000,73.506000,73.381000,73.396000,72.680000,72.914000,72.503000,72.160000,71.583000,71.176000,70.803000,69.915000
2.400000,95.944000,95.979000,95.724000,95.787000,95.604000,95.369000,95.111000,94.516000,93.645000,92.428000,90.550000,87.992000,84.749000,80.627000,77.260000,74.568000,74.622000,76.148000,76.556000,76.334000,76.013000,76.276000,76.410000,76.032000,75.906000,76.053000,76.210000,76.186000,76.274000,76.236000,75.977000,76.299000,76.004000,76.232000,76.222000,76.032000,76.257000,76.231000,76.000000,75.913000,76.202000,76.035000,75.945000,76.335000,76.251000,75.945000,75.979000,75.999000,76.084000,75.999000,75.951000,75.965000,75.873000,76.135000,75.984000,76.022000,75.714000,75.803000,75.576000,75.230000,75.155000,75.112000,74.786000,74.711000,74.093000,73.889000,73.233000,72.650000,72.285000,71.508000,70.386000
2.600000,95.833000,95.726000,95.801000,95.521000,95.079000,94.625000,93.968000,92.732000,90.743000,88.390000,85.348000,81.764000,78.305000,76.314000,76.767000,77.784000,78.117000,77.889000,77.874000,77.951000,78.143000,78.061000,78.070000,78.023000,78.116000,78.187000,77.885000,78.096000,78.155000,78.040000,78.003000,77.894000,78.087000,77.853000,77.979000,77.911000,78.170000,78.256000,77.744000,77.920000,78.036000,77.704000,77.730000,78.020000,77.984000,78.132000,77.891000,77.888000,77.747000,77.969000,77.717000,77.745000,77.850000,77.623000,77.659000,77.632000,77.658000,76.982000,77.109000,76.909000,76.769000,76.304000,76.047000,75.397000,75.185000,74.474000,74.005000,73.418000,72.641000,71.613000,70.613000
2.800000,95.743000,95.570000,95.146000,94.948000,94.091000,93.129000,91.477000,89.357000,86.534000,83.142000,79.811000,77.946000,78.450000,79.546000,79.901000,79.487000,79.507000,79.586000,79.594000,79.532000,79.783000,79.504000,79.597000,79.673000,79.809000,79.654000,79.450000,79.642000,79.699000,79.440000,79.529000,79.714000,79.713000,79.464000,79.861000,79.657000,79.519000,79.740000,79.446000,79.430000,79.363000,79.640000,79.668000,79.479000,79.485000,79.353000,79.537000,79.253000,79.434000,79.575000,79.539000,79.278000,79.325000,79.018000,78.894000,79.022000,78.724000,78.837000,78.130000,78.185000,77.674000,77.411000,77.291000,76.505000,76.001000,75.253000,74.720000,73.502000,72.512000,71.337000,70.317000
3.000000,95.412000,95.033000,94.428000,93.719000,92.264000,90.367000,87.852000,84.754000,81.388000,79.448000,79.932000,80.807000,81.539000,81.335000,80.957000,81.024000,80.962000,81.039000,81.036000,80.902000,80.853000,80.878000,81.108000,81.121000,80.783000,81.074000,81.022000,80.984000,80.948000,81.072000,80.865000,81.092000,80.828000,81.067000,80.977000,81.098000,81.043000,81.053000,80.696000,81.049000,81.171000,81.002000,80.955000,81.053000,81.002000,80.928000,80.861000,81.066000,80.618000,80.984000,80.732000,80.836000,80.416000,80.482000,80.517000,80.248000,80.039000,79.620000,79.356000,79.169000,78.647000,78.072000,77.740000,77.304000,76.662000,75.699000,74.757000,73.553000,72.847000,71.640000,70.067000
3.200000,94.801000,94.106000,92.976000,91.482000,89.350000,86.702000,83.574000,81.224000,80.708000,81.824000,82.464000,82.375000,82.155000,82.292000,82.066000,82.166000,82.149000,82.220000,82.290000,82.298000,82.536000,82.360000,82.345000,82.272000,82.320000,82.349000,82.326000,82.157000,82.412000,82.291000,82.173000,82.454000,82.259000,82.405000,82.128000,82.129000,82.234000,82.329000,82.256000,82.265000,82.176000,82.405000,82.297000,82.191000,82.298000,82.225000,82.025000,81.983000,82.070000,81.941000,81.813000,81.963000,81.464000,81.596000,81.308000,81.351000,80.750000,80.725000,80.425000,79.779000,79.244000,78.968000,78.211000,77.340000,76.639000,75.734000,74.651000,73.638000,72.475000,71.146000,69.735000
3.400000,93.759000,92.614000,90.832000,88.364000,85.786000,83.089000,82.070000,82.835000,83.601000,83.586000,83.352000,83.290000,83.317000,83.403000,83.489000,83.453000,83.381000,83.518000,83.586000,83.395000,83.477000,83.572000,83.268000,83.334000,83.535000,83.378000,83.429000,83.529000,83.404000,83.554000,83.580000,83.113000,83.413000,83.435000,83.079000,83.349000,83.462000,83.526000,83.534000,83.377000,83.425000,83.214000,83.289000,83.422000,83.208000,83.309000,83.386000,83.332000,83.027000,83.037000,82.849000,82.802000,82.596000,82.778000,82.435000,81.902000,81.728000,81.486000,81.037000,80.327000,79.994000,79.355000,78.526000,77.885000,76.772000,75.613000,74.549000,73.526000,72.238000,70.985000,69.773000
3.600000,92.077000,90.141000,87.977000,85.089000,83.377000,83.471000,84.292000,84.719000,84.436000,84.185000,84.427000,84.352000,84.417000,84.493000,84.230000,84.457000,84.342000,84.466000,84.484000,84.150000,84.471000,84.293000,84.535000,84.585000,84.442000,84.438000,84.686000,84.386000,84.597000,84.310000,84.523000,84.378000,84.484000,84.368000,84.281000,84.260000,84.541000,84.468000,84.423000,84.540000,84.475000,84.366000,84.259000,84.341000,84.231000,84.289000,84.152000,83.990000,83.830000,83.651000,83.819000,83.789000,83.364000,83.155000,82.791000,82.794000,82.295000,81.981000,81.332000,80.867000,80.153000,79.454000,78.537000,77.658000,76.698000,75.592000,74.640000,73.284000,72.065000,70.567000,69.404000
3.800000,90.028000,87.515000,85.202000,83.954000,84.650000,85.330000,85.528000,85.435000,85.286000,85.428000,85.292000,85.352000,85.375000,85.296000,85.489000,85.525000,85.501000,85.401000,85.504000,85.368000,85.211000,85.459000,85.299000,85.212000,85.266000,85.541000,85.299000,85.362000,85.353000,85.430000,85.352000,85.233000,85.360000,85.555000,85.332000,85.196000,85.340000,85.440000,85.397000,85.359000,85.148000,85.344000,85.373000,85.137000,85.089000,85.022000,84.721000,85.082000,84.968000,84.843000,84.559000,84.180000,84.151000,83.851000,83.543000,83.500000,82.505000,82.296000,81.701000,81.064000,80.412000,79.538000,78.760000,77.646000,76.804000,75.599000,74.496000,73.113000,71.669000,70.642000,69.181000
